Timestamp,Temperature_C,Humidity_Percent,Air_Quality_Value
2000-01-01,12.99,40.2,168
2000-01-02,16.97,46.8,66
2000-01-03,8.9,64.2,74
2000-01-04,5.39,54.0,132
2000-01-05,17.51,37.3,136
2000-01-06,16.23,45.5,153
2000-01-07,5.06,56.2,159
2000-01-08,16.48,64.8,78
2000-01-09,10.34,53.8,178
2000-01-10,9.73,46.2,189
2000-01-11,7.68,50.1,111
2000-01-12,14.19,40.0,146
2000-01-13,11.21,57.7,132
2000-01-14,15.59,45.4,126
2000-01-15,14.62,42.0,54
2000-01-16,6.62,62.6,145
2000-01-17,7.46,67.4,191
2000-01-18,6.9,35.2,111
2000-01-19,11.32,52.7,126
2000-01-20,11.22,53.0,112
2000-01-21,17.95,54.9,119
2000-01-22,5.47,47.0,123
2000-01-23,11.8,66.1,177
2000-01-24,11.49,42.6,93
2000-01-25,15.08,64.4,116
2000-01-26,16.46,44.5,163
2000-01-27,7.56,38.6,174
2000-01-28,10.09,56.5,110
2000-01-29,15.82,54.7,94
2000-01-30,6.97,47.3,150
2000-01-31,10.67,43.5,54
2000-02-01,14.77,43.3,121
2000-02-02,12.68,40.9,66
2000-02-03,5.29,38.6,155
2000-02-04,13.37,66.9,180
2000-02-05,10.11,54.5,94
2000-02-06,15.45,51.5,166
2000-02-07,12.97,69.1,87
2000-02-08,5.75,68.7,83
2000-02-09,10.37,41.7,68
2000-02-10,17.87,57.8,90
2000-02-11,11.8,61.2,153
2000-02-12,8.66,35.8,126
2000-02-13,10.69,68.3,78
2000-02-14,15.07,66.3,87
2000-02-15,15.09,43.7,52
2000-02-16,5.09,42.8,87
2000-02-17,9.57,61.8,155
2000-02-18,13.88,66.1,100
2000-02-19,10.76,37.2,168
2000-02-20,14.64,64.2,158
2000-02-21,16.46,67.0,71
2000-02-22,5.38,55.8,95
2000-02-23,9.98,60.5,170
2000-02-24,5.26,63.4,186
2000-02-25,9.78,67.5,149
2000-02-26,9.12,46.2,171
2000-02-27,7.46,36.9,109
2000-02-28,8.47,56.1,56
2000-02-29,10.46,45.0,104
2000-03-01,25.12,40.9,117
2000-03-02,28.29,46.1,102
2000-03-03,26.01,43.0,67
2000-03-04,28.55,58.2,158
2000-03-05,19.78,50.9,141
2000-03-06,19.88,48.5,153
2000-03-07,29.98,45.1,74
2000-03-08,24.08,59.0,181
2000-03-09,24.15,42.7,70
2000-03-10,23.96,44.6,159
2000-03-11,24.45,45.3,99
2000-03-12,18.09,56.3,190
2000-03-13,19.04,47.5,185
2000-03-14,20.93,47.6,111
2000-03-15,25.88,59.1,91
2000-03-16,27.1,49.5,158
2000-03-17,19.71,36.3,152
2000-03-18,22.91,56.2,138
2000-03-19,25.49,50.4,144
2000-03-20,21.92,56.4,59
2000-03-21,25.08,38.5,122
2000-03-22,26.41,46.5,141
2000-03-23,26.37,54.5,77
2000-03-24,19.25,55.8,166
2000-03-25,21.78,54.4,121
2000-03-26,29.62,49.3,165
2000-03-27,25.05,55.0,75
2000-03-28,24.18,36.0,186
2000-03-29,28.51,41.0,189
2000-03-30,29.35,39.8,55
2000-03-31,19.09,35.8,142
2000-04-01,20.22,45.9,200
2000-04-02,29.09,48.9,157
2000-04-03,20.21,44.3,69
2000-04-04,29.31,45.1,187
2000-04-05,28.75,52.2,100
2000-04-06,27.35,37.3,188
2000-04-07,28.12,56.1,80
2000-04-08,29.35,43.0,106
2000-04-09,26.9,43.7,168
2000-04-10,27.19,58.1,156
2000-04-11,24.21,48.8,153
2000-04-12,23.82,56.3,51
2000-04-13,19.47,56.4,67
2000-04-14,20.28,41.4,171
2000-04-15,23.7,55.5,91
2000-04-16,23.23,45.1,94
2000-04-17,24.82,55.6,134
2000-04-18,26.48,52.3,64
2000-04-19,29.46,57.9,115
2000-04-20,26.53,50.1,182
2000-04-21,25.32,41.6,60
2000-04-22,19.55,53.5,165
2000-04-23,22.91,59.9,95
2000-04-24,28.96,48.8,160
2000-04-25,24.64,55.5,200
2000-04-26,28.4,54.3,74
2000-04-27,29.41,39.3,54
2000-04-28,23.16,55.4,68
2000-04-29,19.17,45.6,56
2000-04-30,26.54,42.6,109
2000-05-01,24.84,41.3,83
2000-05-02,18.0,50.3,169
2000-05-03,22.25,39.2,167
2000-05-04,19.46,53.0,167
2000-05-05,25.65,45.3,147
2000-05-06,28.14,44.5,158
2000-05-07,22.25,45.0,182
2000-05-08,25.3,43.8,80
2000-05-09,25.23,38.6,96
2000-05-10,25.66,42.5,144
2000-05-11,20.3,38.6,112
2000-05-12,28.3,48.0,171
2000-05-13,28.25,36.0,93
2000-05-14,21.81,36.1,100
2000-05-15,23.12,43.1,134
2000-05-16,25.1,49.0,143
2000-05-17,19.03,43.2,100
2000-05-18,18.74,49.1,154
2000-05-19,18.88,40.9,187
2000-05-20,20.15,41.6,162
2000-05-21,25.02,39.2,170
2000-05-22,25.22,39.7,155
2000-05-23,18.37,41.0,179
2000-05-24,29.92,35.9,78
2000-05-25,23.38,57.5,54
2000-05-26,26.75,45.4,156
2000-05-27,29.08,36.2,88
2000-05-28,25.89,52.3,119
2000-05-29,24.19,47.5,159
2000-05-30,21.44,49.9,136
2000-05-31,23.18,39.4,131
2000-06-01,35.86,76.8,158
2000-06-02,36.32,66.8,180
2000-06-03,29.56,74.4,86
2000-06-04,31.29,56.8,129
2000-06-05,35.42,64.4,156
2000-06-06,35.31,84.7,120
2000-06-07,35.57,62.0,125
2000-06-08,34.74,82.0,153
2000-06-09,33.19,58.7,111
2000-06-10,37.36,77.6,183
2000-06-11,32.67,83.5,77
2000-06-12,35.31,52.8,153
2000-06-13,31.89,80.8,62
2000-06-14,31.9,66.9,57
2000-06-15,31.61,68.1,150
2000-06-16,33.54,74.8,142
2000-06-17,28.71,78.4,69
2000-06-18,37.23,65.0,128
2000-06-19,37.68,84.6,196
2000-06-20,32.25,66.5,93
2000-06-21,33.94,82.7,78
2000-06-22,32.39,51.3,95
2000-06-23,32.55,78.3,105
2000-06-24,37.86,59.2,163
2000-06-25,37.91,60.8,68
2000-06-26,36.66,66.7,165
2000-06-27,35.62,66.0,104
2000-06-28,28.73,76.5,163
2000-06-29,30.83,77.3,54
2000-06-30,35.16,54.9,188
2000-07-01,35.68,54.7,164
2000-07-02,32.33,82.8,123
2000-07-03,30.77,63.9,88
2000-07-04,28.31,72.6,116
2000-07-05,28.71,78.3,98
2000-07-06,35.71,58.6,91
2000-07-07,34.59,51.8,54
2000-07-08,34.47,65.0,140
2000-07-09,30.33,60.2,170
2000-07-10,31.2,61.4,97
2000-07-11,32.41,67.2,120
2000-07-12,35.92,59.5,199
2000-07-13,30.71,65.2,183
2000-07-14,32.46,60.5,83
2000-07-15,34.23,66.1,136
2000-07-16,37.81,69.6,97
2000-07-17,34.18,60.2,143
2000-07-18,36.37,65.2,123
2000-07-19,36.34,81.1,156
2000-07-20,28.51,79.8,119
2000-07-21,33.01,61.4,113
